"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 15:17:41 IST 2024","Sun Jul 07 15:17:44 IST 2024","2812","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","testCreateBooking","testCreateBooking",""
"passed","Sun Jul 07 12:01:42 IST 2024","Sun Jul 07 12:01:43 IST 2024","63","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","test1GetToken","test1GetToken",""
"passed","Sun Jul 07 12:01:43 IST 2024","Sun Jul 07 12:01:43 IST 2024","0","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","test2CreateBooking","test2CreateBooking",""
"passed","Sun Jul 07 08:58:17 IST 2024","Sun Jul 07 08:58:18 IST 2024","1179","All Test Suite","ApiAutomationTesting","org.example.crud.TC_CreatingBooking","org.example.crud.TC_CreatingBooking","postReq_Negative","postReq_Negative","verify negative test case without paylaod"
"passed","Sun Jul 07 08:58:14 IST 2024","Sun Jul 07 08:58:17 IST 2024","2425","All Test Suite","ApiAutomationTesting","org.example.crud.TC_CreatingBooking","org.example.crud.TC_CreatingBooking","postReq","postReq","verify  positive test case with payload"
"passed","Sun Jul 07 12:01:43 IST 2024","Sun Jul 07 12:01:43 IST 2024","0","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","test4DeleteBooking","test4DeleteBooking",""
"passed","Sun Jul 07 08:33:18 IST 2024","Sun Jul 07 08:33:21 IST 2024","2868","Default Suite","ApiAutomationTesting","crud.TC_CreatingBooking","crud.TC_CreatingBooking","postReq","postReq","verify negative test case"
"passed","Sun Jul 07 12:01:43 IST 2024","Sun Jul 07 12:01:43 IST 2024","0","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","test3UpdateBooking","test3UpdateBooking",""
"passed","Sun Jul 07 15:17:48 IST 2024","Sun Jul 07 15:17:50 IST 2024","1218","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","testDeleteBookingByGET","testDeleteBookingByGET",""
"passed","Sun Jul 07 15:17:44 IST 2024","Sun Jul 07 15:17:45 IST 2024","1282","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","testGetToken","testGetToken",""
"passed","Sun Jul 07 15:17:47 IST 2024","Sun Jul 07 15:17:48 IST 2024","1660","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","testDeleteBooking","testDeleteBooking",""
"passed","Sat Jul 06 20:51:23 IST 2024","Sat Jul 06 20:51:27 IST 2024","3667","Default Suite","ApiAutomationTesting","misc.misc001","misc.misc001","postRequest","postRequest",""
"passed","Sun Jul 07 15:17:45 IST 2024","Sun Jul 07 15:17:46 IST 2024","1366","All Test Suite","ApiAutomationTesting","org.example.Integration.TC_Integration","org.example.Integration.TC_Integration","testUpdateBooking","testUpdateBooking",""
